id,name,artist,spotify_id,preview,img,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,acousticness_artist,danceability_artist,energy_artist,instrumentalness_artist,liveness_artist,speechiness_artist,valence_artist
1469,Always Be My Baby,Mariah Carey,2aBxt229cbLDOvtL7Xbb9x,https://p.scdn.co/mp3-preview/b1e31095de6722f08830226adaeaf91d54654bc5?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273749e9bfa78277f30ad2c9a9c,0.649,0.531,-8.335,0.0363,0.457,0,0.249,0.488,0.354196961,0.572691176,0.55995098,0.00070136,0.176653431,0.054518627,0.418808824
1470,Bed Of Roses,Bon Jovi,1zng9uqqXoPkmU05nsAlsw,,https://i.scdn.co/image/ab67616d0000b27359bfe048568a969c6f0bd08c,0.309,0.596,-5.599,0.0293,0.101,0,0.21,0.161,0.055619009,0.448649635,0.847277372,0.006847907,0.200510949,0.046940876,0.466248175
1471,La Gozadera (feat. Marc Anthony),Gente De Zona,0OMRAvrtLWE2TvcXorRiB9,https://p.scdn.co/mp3-preview/bd4c51e91109f9825044b452104c5b4d738a66a5?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b2730e674e81c59a2308c1b4b660,0.616,0.989,-1.698,0.0483,0.166,0,0.172,0.902,0.081366667,0.721666667,0.844666667,1.10E-05,0.0758,0.101883333,0.908333333
1472,Pied Piper,BTS,0ffweDHrg4bZqdG4IfGYuo,https://p.scdn.co/mp3-preview/248ad5fb284b85e40d92dbaec9b971a47a086771?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273f9a16d4b6cd94eca041f00b8,0.583,0.712,-4.942,0.0326,0.2,0,0.268,0.776,0.099350444,0.614798387,0.786451613,4.37E-05,0.202608065,0.128514919,0.533369355
1473,Suicidal Thoughts,Josh A,56TOfxnRzSRbFRw8J6C4IT,https://p.scdn.co/mp3-preview/62ce2cd40e6c62c6649566cf486c3a3b96c71f73?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b27306c95838d734f5c0fe3a6a7f,0.372,0.656,-6.086,0.0776,0.217,0,0.418,0.15,0.140432,0.6378,0.6078,0,0.2382,0.11066,0.324
1474,Gimme More,Britney Spears,6ic8OlLUNEATToEFU3xmaH,https://p.scdn.co/mp3-preview/933d11a18d0ec4884f4a9620f4d628a7295e8faf?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273ca10fae7d292c52f7e8b11ca,0.788,0.844,-3.131,0.0334,0.25,0.000678,0.0723,0.382,0.156519009,0.728706422,0.762623853,0.003121384,0.222036697,0.065950459,0.721743119
1475,Salio El Sol,Don Omar,48NXpYRuvv9izul4oXhqS9,,https://i.scdn.co/image/ab67616d0000b2734cca40647f8b57382231a94e,0.887,0.701,-5.892,0.0873,0.106,0.00948,0.0466,0.965,0.164575798,0.721235955,0.782247191,0.004981376,0.22285618,0.129947191,0.697977528
1476,watch,Billie Eilish,7eB1V5LvAdxCc7brfGhRRo,,https://i.scdn.co/image/ab67616d0000b273a9f6c04ba168640b48aa5795,0.441,0.599,-8.985,0.225,0.333,0.00198,0.103,0.35,0.627382535,0.620577465,0.35304507,0.097906548,0.17143662,0.135860563,0.259249296
1477,Green Light,Lorde,6ie2Bw3xLj2JcGowOlcMhb,,https://i.scdn.co/image/ab67616d0000b273f8553e18a11209d4becd0336,0.594,0.721,-7.812,0.0957,0.0209,8.55E-06,0.0879,0.253,0.35543954,0.605896552,0.466045977,0.045265781,0.141524138,0.073163218,0.250206897
1478,Mercury: Retrograde,Ghostemane,2Vc6NJ9PW9gD9q343XFRKx,https://p.scdn.co/mp3-preview/7d4cb282d38d48d85e9faedb3ea5e74546281d07?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b27347fa4895a04fbb517fd42070,0.831,0.814,-7.364,0.42,0.0598,0.0134,0.0556,0.389,0.056330211,0.792157895,0.731210526,0.044936989,0.342863158,0.264931579,0.252768421
